6,0,1,40,Benign
6,0,2,80,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,48,Benign
6,0,1,48,Benign
6,0,1,40,Benign
6,0,2,80,Benign
6,0,1,40,Benign
6,0,2,80,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,0,1,48,Benign
6,0,1,48,Benign
6,0,1,40,Benign
6,0,1,40,Benign
6,0,1,60,Benign
6,10,35,4746,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,60,Benign
6,0,1,40,Benign
6,0,2,80,Benign
6,0,1,40,Benign
6,0,2,80,Benign
6,0,1,52,Benign
6,1,37,4258,Benign
6,0,1,60,Benign
6,13,27,4162,Benign
6,0,1,40,Benign
6,1,2,80,Benign
6,0,1,52,Benign
6,15,19,1602,Benign
6,0,1,52,Benign
6,5,7,292,Benign
6,0,1,52,Benign
6,171,43,4372,Benign
6,0,1,52,Benign
6,5,7,292,Benign
6,0,1,52,Benign
6,173,45,7112,Benign
6,0,1,52,Benign
6,171,43,4370,Benign
6,0,1,52,Benign
6,188,51,6046,Benign
6,0,1,52,Benign
6,0,18,2468,Benign
6,0,1,52,Benign
6,171,31,3306,Benign
6,0,1,52,Benign
6,116,41,3796,Benign
6,0,1,52,Benign
6,170,41,5868,Benign
6,0,1,52,Benign
6,171,96,20274,Benign
6,0,1,52,Benign
6,170,41,5790,Benign
6,0,1,52,Benign
6,171,129,13236,Benign
6,0,1,52,Benign
6,171,41,7614,Benign
6,0,1,52,Benign
6,171,39,3632,Benign
6,0,1,52,Benign
6,116,33,2226,Benign
6,0,1,52,Benign
6,0,19,2384,Benign
6,0,1,52,Benign
6,176,47,3112,Benign
6,0,1,52,Benign
6,0,9,1176,Benign
6,0,1,52,Benign
6,61,31,3710,Benign
6,0,1,52,Benign
6,0,1,52,Benign
6,118,37,3274,Benign
6,0,1,52,Benign
